display_name,canonical_wikipedia_url,structural_classification,structural_sensitivity,structural_risk_score,structural_notes,outcome_risk_notes_before,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Agha Petros,https://en.wikipedia.org/wiki/Agha_Petros,materially_inflated,high,18,5 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,unresolved_after_review,material_change,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=5; D=0; N=0; U=1,V=5; D=0; N=0; U=1,0,1,1,1,63.0,68.0,65.0,65.0,model_sensitive_band,model_sensitive_band,caution,caution
Nikolai Yudenich,https://en.wikipedia.org/wiki/Nikolai_Yudenich,materially_inflated,high,18,2 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,corrected,stable_after_review,10,10,B=7; O=2; C=0; W=1,B=7; O=2; C=0; W=1,8,9,V=6; D=1; N=1; U=2,V=5; D=3; N=1; U=1,2,1,0,0,,,,,,,,
Yamagata Aritomo,https://en.wikipedia.org/wiki/Yamagata_Aritomo,materially_inflated,high,18,1 structurally suspect rows; war-page reduction 4→0; rank moved materially after verification,victory count dropped by 7,unresolved_after_review,stable_after_review,9,9,B=6; O=0; C=0; W=3,B=6; O=0; C=0; W=3,6,6,V=6; D=0; N=0; U=3,V=6; D=0; N=0; U=3,0,3,3,3,,,,,,,,
Rodolfo Graziani,https://en.wikipedia.org/wiki/Rodolfo_Graziani,materially_inflated,moderate,18,3 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3,known outcomes dropped by 4,corrected_but_partially_unresolved,stable_after_review,11,11,B=7; O=2; C=0; W=2,B=7; O=2; C=0; W=2,5,6,V=4; D=1; N=0; U=6,V=4; D=1; N=1; U=5,1,5,4,4,,,,,,,,
Jean-de-Dieu Soult,https://en.wikipedia.org/wiki/Jean-de-Dieu_Soult,materially_inflated,high,18,5 structurally suspect rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 4,unresolved_after_review,stable_after_review,46,46,B=42; O=0; C=0; W=4,B=42; O=0; C=0; W=4,38,38,V=23; D=14; N=1; U=8,V=23; D=14; N=1; U=8,0,8,3,3,,,,,,,,
Stanisław Rewera Potocki,https://en.wikipedia.org/wiki/Stanis%C5%82aw_Rewera_Potocki,materially_inflated,high,18,1 structurally suspect rows; 3 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,known outcomes dropped by 3,corrected_but_partially_unresolved,stable_after_review,14,14,B=14; O=0; C=0; W=0,B=14; O=0; C=0; W=0,8,10,V=5; D=3; N=0; U=6,V=5; D=4; N=1; U=4,2,4,2,2,,,,,,,,
George Washington,https://en.wikipedia.org/wiki/George_Washington,materially_inflated,high,18,4 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,unresolved_after_review,stable_after_review,20,20,B=16; O=0; C=0; W=4,B=16; O=0; C=0; W=4,17,17,V=8; D=9; N=0; U=3,V=8; D=9; N=0; U=3,0,3,2,2,,,,,,,,
Petar Bojović,https://en.wikipedia.org/wiki/Petar_Bojovi%C4%87,mildly_inflated,moderate,17,3 downgraded broad rows; war-page reduction 3→2; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,unresolved_after_review,stable_after_review,9,9,B=4; O=3; C=0; W=2,B=4; O=3; C=0; W=2,7,7,V=7; D=0; N=0; U=2,V=7; D=0; N=0; U=2,0,2,2,2,21.0,22.0,15.0,14.0,model_sensitive_band,model_sensitive_band,caution,caution
Rodion Malinovsky,https://en.wikipedia.org/wiki/Rodion_Malinovsky,high_priority_manual_audit,moderate,17,7 downgraded broad rows; strict engagements reduced by 6,known outcomes dropped by 3; multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,material_change,16,16,B=8; O=7; C=0; W=1,B=8; O=7; C=0; W=1,12,13,V=11; D=1; N=0; U=4,V=11; D=1; N=1; U=3,1,3,2,2,47.0,,66.0,,model_sensitive_band,,caution,
Frederick the Great,https://en.wikipedia.org/wiki/Frederick_the_Great,materially_inflated,high,17,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 7→0; rank moved materially after verification,victory count dropped by 18,corrected_but_partially_unresolved,stable_after_review,26,26,B=21; O=0; C=0; W=5,B=21; O=0; C=0; W=5,23,24,V=17; D=6; N=0; U=3,V=17; D=6; N=1; U=2,1,2,1,1,,,,,,,,
Dragut,https://en.wikipedia.org/wiki/Dragut,materially_inflated,high,17,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,6,6,V=5; D=1; N=0; U=2,V=5; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Shapur I,https://en.wikipedia.org/wiki/Shapur_I,materially_inflated,moderate,17,4 structurally suspect rows; 1 downgraded broad rows; strict engagements reduced by 4,,unresolved_after_review,stable_after_review,13,13,B=13; O=0; C=0; W=0,B=13; O=0; C=0; W=0,9,9,V=6; D=2; N=1; U=4,V=6; D=2; N=1; U=4,0,4,4,4,,,,,,,,
Jerzy Sebastian Lubomirski,https://en.wikipedia.org/wiki/Jerzy_Sebastian_Lubomirski,materially_inflated,high,17,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected,material_change,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,6,8,V=6; D=0; N=0; U=2,V=8; D=0; N=0; U=0,2,0,0,0,,83.0,,69.0,,model_sensitive_band,,caution
"Frederick Henry, Prince of Orange",https://en.wikipedia.org/wiki/Frederick_Henry%2C_Prince_of_Orange,materially_inflated,high,17,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,9,9,V=7; D=2; N=0; U=1,V=7; D=2; N=0; U=1,0,1,1,1,,,,,,,,
"Louis, Grand Condé",https://en.wikipedia.org/wiki/Louis%2C_Grand_Cond%C3%A9,materially_inflated,high,17,3 structurally suspect rows; strict engagements reduced by 3; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,13,13,B=11; O=0; C=0; W=2,B=11; O=0; C=0; W=2,8,10,V=6; D=2; N=0; U=5,V=6; D=2; N=2; U=3,2,3,2,2,,,,,,,,
Erich Hoepner,https://en.wikipedia.org/wiki/Erich_Hoepner,materially_inflated,high,17,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,victory count dropped by 6,unresolved_after_review,material_change,10,10,B=9; O=1; C=0; W=0,B=9; O=1; C=0; W=0,7,7,V=6; D=1; N=0; U=3,V=6; D=1; N=0; U=3,0,3,2,2,,184.0,,175.0,,outside_trust_headline,,caution
Gustav Horn,https://en.wikipedia.org/wiki/Gustav_Horn,materially_inflated,high,17,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,known outcomes dropped by 3,unresolved_after_review,stable_after_review,10,10,B=8; O=0; C=0; W=2,B=8; O=0; C=0; W=2,8,8,V=5; D=3; N=0; U=2,V=5; D=3; N=0; U=2,0,2,2,2,,,,,,,,
Alexander Suvorov,https://en.wikipedia.org/wiki/Alexander_Suvorov,mildly_inflated,moderate,16,2 structurally suspect rows; 3 downgraded broad rows; war-page reduction 5→1; campaign reduction 1→0; strict engagements reduced by 4,,unresolved_after_review,stable_after_review,20,20,B=19; O=0; C=0; W=1,B=19; O=0; C=0; W=1,18,18,V=17; D=1; N=0; U=2,V=17; D=1; N=0; U=2,0,2,1,1,1.0,1.0,1.0,1.0,robust_elite_core,robust_elite_core,high,high
"Henri de La Tour d'Auvergne, Viscount of Turenne",https://en.wikipedia.org/wiki/Henri_de_La_Tour_d%27Auvergne%2C_Viscount_of_Turenne,high_priority_manual_audit,moderate,16,2 structurally suspect rows; 1 downgraded broad rows; war-page reduction 6→3; strict engagements reduced by 3; rank moved materially after verification,multiple surviving battle pages still unresolved; headline rank with softened trust confidence,corrected_but_partially_unresolved,material_change,20,20,B=17; O=0; C=0; W=3,B=17; O=0; C=0; W=3,12,15,V=11; D=1; N=0; U=8,V=11; D=1; N=3; U=5,3,5,4,4,20.0,30.0,18.0,32.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Jassa Singh Ahluwalia,https://en.wikipedia.org/wiki/Jassa_Singh_Ahluwalia,materially_inflated,high,16,1 structurally suspect rows; 1 downgraded broad rows; war-page reduction 2→1; campaign reduction 1→0; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,7,8,V=6; D=0; N=1; U=4,V=6; D=1; N=1; U=3,1,3,3,3,51.0,,39.0,,model_sensitive_band,,caution,
Ambrogio Spinola,https://en.wikipedia.org/wiki/Ambrogio_Spinola,materially_inflated,high,16,1 structurally suspect rows; 2 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,unresolved_after_review,stable_after_review,11,11,B=8; O=0; C=0; W=3,B=8; O=0; C=0; W=3,8,8,V=6; D=2; N=0; U=3,V=6; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Cardinal-Infante Ferdinand of Austria,https://en.wikipedia.org/wiki/Cardinal-Infante_Ferdinand_of_Austria,materially_inflated,high,16,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,7,7,V=7; D=0; N=0; U=2,V=7; D=0; N=0; U=2,0,2,2,2,133.0,129.0,123.0,121.0,outside_trust_headline,outside_trust_headline,caution,caution
Gebhard Leberecht von Blücher,https://en.wikipedia.org/wiki/Gebhard_Leberecht_von_Bl%C3%BCcher,materially_inflated,high,16,3 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,20,20,B=18; O=0; C=0; W=2,B=18; O=0; C=0; W=2,17,17,V=9; D=8; N=0; U=3,V=9; D=8; N=0; U=3,0,3,1,1,,,,,,,,
Charles X Gustav,https://en.wikipedia.org/wiki/Charles_X_Gustav,materially_inflated,high,15,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,confirmed_no_change,material_change,13,13,B=13; O=0; C=0; W=0,B=13; O=0; C=0; W=0,13,13,V=9; D=3; N=1; U=0,V=9; D=3; N=1; U=0,0,0,0,0,69.0,,111.0,,model_sensitive_band,,caution,
Abdulaziz Ibn Saud,https://en.wikipedia.org/wiki/Ibn_Saud,materially_inflated,high,15,2 structurally suspect rows; 3 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,6,6,V=4; D=2; N=0; U=6,V=4; D=2; N=0; U=6,0,6,6,6,,,,,,,,
Craterus,https://en.wikipedia.org/wiki/Craterus,materially_inflated,high,15,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,8,8,V=7; D=1; N=0; U=1,V=7; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Robert Clive,https://en.wikipedia.org/wiki/Robert_Clive,materially_inflated,high,15,1 downgraded broad rows; war-page reduction 2→0; rank moved materially after verification,victory count dropped by 7,unresolved_after_review,material_change,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,7,7,V=6; D=1; N=0; U=2,V=6; D=1; N=0; U=2,0,2,2,2,,140.0,,130.0,,outside_trust_headline,,caution
Shimazu Yoshihiro,https://en.wikipedia.org/wiki/Shimazu_Yoshihiro,materially_inflated,high,15,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,9,9,V=6; D=3; N=0; U=2,V=6; D=3; N=0; U=2,0,2,2,2,,,,,,,,
Giovanni Messe,https://en.wikipedia.org/wiki/Giovanni_Messe,materially_inflated,high,15,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=4; O=3; C=0; W=2,B=4; O=3; C=0; W=2,7,7,V=3; D=2; N=1; U=2,V=3; D=2; N=1; U=2,0,2,1,1,,,,,,,,
Jean Victor Marie Moreau,https://en.wikipedia.org/wiki/Jean_Victor_Marie_Moreau,materially_inflated,high,14,1 structurally suspect rows; 2 downgraded broad rows; war-page reduction 2→0; campaign reduction 1→0; strict engagements reduced by 3; rank moved materially after verification,,corrected,stable_after_review,22,22,B=22; O=0; C=0; W=0,B=22; O=0; C=0; W=0,20,21,V=14; D=5; N=1; U=2,V=15; D=5; N=1; U=1,1,1,0,0,27.0,23.0,41.0,30.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Stanisław Żółkiewski,https://en.wikipedia.org/wiki/Stanis%C5%82aw_%C5%BB%C3%B3%C5%82kiewski,mildly_inflated,moderate,14,4 downgraded broad rows; war-page reduction 4→0; strict engagements reduced by 4; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,11,11,B=11; O=0; C=0; W=0,B=11; O=0; C=0; W=0,9,10,V=8; D=1; N=0; U=2,V=9; D=1; N=0; U=1,1,1,1,1,34.0,26.0,29.0,22.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
Gustavus Adolphus,https://en.wikipedia.org/wiki/Gustavus_Adolphus,materially_inflated,high,14,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,known outcomes dropped by 3,unresolved_after_review,stable_after_review,20,20,B=16; O=0; C=0; W=4,B=16; O=0; C=0; W=4,12,12,V=9; D=3; N=0; U=8,V=9; D=3; N=0; U=8,0,8,7,7,,,,,,,,
"Édouard Mortier, Duke of Treviso",https://en.wikipedia.org/wiki/%C3%89douard_Mortier%2C_Duke_of_Treviso,materially_inflated,high,14,3 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,22,22,B=18; O=0; C=0; W=4,B=18; O=0; C=0; W=4,18,18,V=13; D=5; N=0; U=4,V=13; D=5; N=0; U=4,0,4,2,2,,,,,,,,
Date Masamune,https://en.wikipedia.org/wiki/Date_Masamune,materially_inflated,high,14,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,,unresolved_after_review,stable_after_review,7,7,B=6; O=0; C=0; W=1,B=6; O=0; C=0; W=1,6,6,V=5; D=0; N=0; U=1,V=5; D=0; N=0; U=1,0,1,1,1,104.0,106.0,37.0,40.0,outside_trust_headline,outside_trust_headline,caution,caution
Bertrand du Guesclin,https://en.wikipedia.org/wiki/Bertrand_du_Guesclin,materially_inflated,high,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,10,10,B=8; O=0; C=0; W=2,B=8; O=0; C=0; W=2,9,9,V=7; D=2; N=0; U=1,V=7; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Wolfram von Richthofen,https://en.wikipedia.org/wiki/Wolfram_von_Richthofen,materially_inflated,high,14,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,8,8,B=7; O=1; C=0; W=0,B=7; O=1; C=0; W=0,5,5,V=5; D=0; N=0; U=3,V=5; D=0; N=0; U=3,0,3,3,3,,,,,,,,
Prince Eugene of Savoy,https://en.wikipedia.org/wiki/Prince_Eugene_of_Savoy,materially_inflated,high,14,4 downgraded broad rows; strict engagements reduced by 4; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,26,26,B=22; O=0; C=0; W=4,B=22; O=0; C=0; W=4,17,19,V=10; D=7; N=0; U=9,V=10; D=7; N=2; U=7,2,7,6,6,,,,,,,,
Karl Philipp von Wrede,https://en.wikipedia.org/wiki/Karl_Philipp_von_Wrede,materially_inflated,high,14,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,11,11,B=9; O=0; C=0; W=2,B=9; O=0; C=0; W=2,10,10,V=7; D=3; N=0; U=1,V=7; D=3; N=0; U=1,0,1,1,1,,,,,,,,
"Jean-Baptiste Drouet, Comte d'Erlon",https://en.wikipedia.org/wiki/Jean-Baptiste_Drouet%2C_Comte_d%27Erlon,materially_inflated,high,14,1 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,5,5,V=4; D=1; N=0; U=1,V=4; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Oliver Cromwell,https://en.wikipedia.org/wiki/Oliver_Cromwell,mildly_inflated,moderate,13,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,unresolved_after_review,stable_after_review,19,19,B=15; O=0; C=0; W=4,B=15; O=0; C=0; W=4,6,6,V=6; D=0; N=0; U=13,V=6; D=0; N=0; U=13,0,13,13,13,68.0,70.0,71.0,74.0,model_sensitive_band,model_sensitive_band,caution,caution
Amr ibn al-As,https://en.wikipedia.org/wiki/Amr_ibn_al-As,materially_inflated,high,13,1 downgraded broad rows; war-page reduction 1→0; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,7,10,V=7; D=0; N=0; U=5,V=10; D=0; N=0; U=2,3,2,1,1,85.0,53.0,59.0,34.0,model_sensitive_band,model_sensitive_band,caution,moderate
Michel Ney,https://en.wikipedia.org/wiki/Michel_Ney,materially_inflated,high,13,4 structurally suspect rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,42,42,B=38; O=0; C=0; W=4,B=38; O=0; C=0; W=4,29,32,V=16; D=13; N=0; U=13,V=17; D=13; N=2; U=10,3,10,4,4,,,,,,,,
Auguste de Marmont,https://en.wikipedia.org/wiki/Auguste_de_Marmont,materially_inflated,high,13,2 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,22,22,B=19; O=0; C=0; W=3,B=19; O=0; C=0; W=3,19,20,V=12; D=7; N=0; U=3,V=12; D=7; N=1; U=2,1,2,1,1,,,,,,,,
Murad II,https://en.wikipedia.org/wiki/Murad_II,materially_inflated,high,13,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,13,13,B=12; O=0; C=0; W=1,B=12; O=0; C=0; W=1,8,11,V=6; D=2; N=0; U=5,V=8; D=3; N=0; U=2,3,2,2,2,,,,,,,,
Maurice de Saxe,https://en.wikipedia.org/wiki/Maurice_de_Saxe,materially_inflated,high,13,1 structurally suspect rows; war-page reduction 2→1; rank moved materially after verification,,unresolved_after_review,stable_after_review,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,9,9,V=9; D=0; N=0; U=1,V=9; D=0; N=0; U=1,0,1,1,1,157.0,157.0,146.0,147.0,outside_trust_headline,outside_trust_headline,caution,caution
Hulusi Akar,https://en.wikipedia.org/wiki/Hulusi_Akar,materially_inflated,stable,13,4 structurally suspect rows,,corrected_but_partially_unresolved,stable_after_review,13,13,B=1; O=9; C=0; W=3,B=1; O=9; C=0; W=3,4,5,V=4; D=0; N=0; U=9,V=4; D=0; N=1; U=8,1,8,4,4,,,,,,,,
Kuroda Yoshitaka,https://en.wikipedia.org/wiki/Kuroda_Yoshitaka,materially_inflated,high,13,1 structurally suspect rows; rank moved materially after verification,,corrected_but_partially_unresolved,material_change,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,5,6,V=5; D=0; N=0; U=5,V=5; D=0; N=1; U=4,1,4,4,4,188.0,169.0,147.0,145.0,outside_trust_headline,outside_trust_headline,caution,caution
André Masséna,https://en.wikipedia.org/wiki/Andr%C3%A9_Mass%C3%A9na,mildly_inflated,moderate,12,2 structurally suspect rows; 1 downgraded broad rows; war-page reduction 4→3; campaign reduction 2→0; strict engagements reduced by 3; rank moved materially after verification,multiple surviving battle pages still unresolved,corrected_but_partially_unresolved,material_change,43,43,B=40; O=0; C=0; W=3,B=40; O=0; C=0; W=3,36,37,V=29; D=7; N=0; U=7,V=29; D=7; N=1; U=6,1,6,5,5,14.0,19.0,22.0,29.0,strong_upper_tier,strong_upper_tier,high,high
John III Sobieski,https://en.wikipedia.org/wiki/John_III_Sobieski,materially_inflated,high,12,2 downgraded broad rows; war-page reduction 3→1; rank moved materially after verification,,corrected,material_change,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,9,10,V=8; D=1; N=0; U=2,V=8; D=2; N=0; U=1,1,1,0,0,50.0,,55.0,,high_confidence_upper_band,,moderate,
Konstantin Rokossovsky,https://en.wikipedia.org/wiki/Konstantin_Rokossovsky,materially_inflated,high,12,3 downgraded broad rows; rank moved materially after verification,,corrected,material_change,17,17,B=10; O=7; C=0; W=0,B=10; O=7; C=0; W=0,15,17,V=12; D=3; N=0; U=2,V=14; D=3; N=0; U=0,2,0,0,0,,48.0,,72.0,,model_sensitive_band,,caution
Michiel de Ruyter,https://en.wikipedia.org/wiki/Michiel_de_Ruyter,materially_inflated,high,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,15,15,B=10; O=0; C=0; W=5,B=10; O=0; C=0; W=5,10,11,V=7; D=2; N=1; U=5,V=7; D=2; N=2; U=4,1,4,4,4,,,,,,,,
Sayenqueraghta,https://en.wikipedia.org/wiki/Sayenqueraghta,materially_inflated,high,12,1 structurally suspect rows; rank moved materially after verification,,corrected,stable_after_review,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,8,9,V=6; D=1; N=1; U=1,V=6; D=1; N=2; U=0,1,0,0,0,,,,,,,,
Honda Tadakatsu,https://en.wikipedia.org/wiki/Honda_Tadakatsu,materially_inflated,high,12,1 structurally suspect rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,10,10,B=9; O=0; C=0; W=1,B=9; O=0; C=0; W=1,8,9,V=7; D=1; N=0; U=2,V=7; D=1; N=1; U=1,1,1,1,1,,,,,,,,
Ernst Gideon von Laudon,https://en.wikipedia.org/wiki/Ernst_Gideon_von_Laudon,materially_inflated,high,12,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,12,12,B=9; O=0; C=0; W=3,B=9; O=0; C=0; W=3,11,11,V=7; D=3; N=1; U=1,V=7; D=3; N=1; U=1,0,1,1,1,,,,,,,,
Suhayl al-Hasan,https://en.wikipedia.org/wiki/Suhayl_al-Hasan,materially_inflated,high,12,4 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,26,26,B=7; O=19; C=0; W=0,B=7; O=19; C=0; W=0,8,9,V=4; D=2; N=0; U=18,V=4; D=2; N=1; U=17,1,17,14,14,,,,,,,,
Lennart Torstensson,https://en.wikipedia.org/wiki/Lennart_Torstensson,materially_inflated,high,12,1 structurally suspect rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,12,12,B=10; O=0; C=0; W=2,B=10; O=0; C=0; W=2,8,8,V=8; D=0; N=0; U=4,V=8; D=0; N=0; U=4,0,4,4,4,146.0,145.0,125.0,126.0,outside_trust_headline,outside_trust_headline,caution,caution
Zhang Fakui,https://en.wikipedia.org/wiki/Zhang_Fakui,materially_inflated,high,12,2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,9,9,B=6; O=2; C=0; W=1,B=6; O=2; C=0; W=1,8,8,V=4; D=4; N=0; U=1,V=4; D=4; N=0; U=1,0,1,1,1,,,,,,,,
Xue Yue,https://en.wikipedia.org/wiki/Xue_Yue,materially_inflated,high,12,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,unresolved_after_review,stable_after_review,14,14,B=11; O=2; C=0; W=1,B=11; O=2; C=0; W=1,11,11,V=5; D=6; N=0; U=3,V=5; D=6; N=0; U=3,0,3,2,2,,,,,,,,
Louis-Gabriel Suchet,https://en.wikipedia.org/wiki/Louis-Gabriel_Suchet,mildly_inflated,moderate,11,1 structurally suspect rows; campaign reduction 1→0; rank moved materially after verification,headline rank with softened trust confidence,corrected_but_partially_unresolved,stable_after_review,21,21,B=19; O=0; C=0; W=2,B=19; O=0; C=0; W=2,18,19,V=15; D=3; N=0; U=3,V=16; D=3; N=0; U=2,1,2,2,2,22.0,21.0,27.0,25.0,high_confidence_upper_band,high_confidence_upper_band,moderate,moderate
George S. Patton,https://en.wikipedia.org/wiki/George_S._Patton,materially_inflated,high,11,1 structurally suspect rows; 1 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,11,11,B=6; O=5; C=0; W=0,B=6; O=5; C=0; W=0,10,10,V=9; D=0; N=1; U=1,V=9; D=0; N=1; U=1,0,1,1,1,42.0,42.0,47.0,49.0,model_sensitive_band,model_sensitive_band,caution,caution
Ferdinand Foch,https://en.wikipedia.org/wiki/Ferdinand_Foch,materially_inflated,high,11,3 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,19,19,B=18; O=1; C=0; W=0,B=18; O=1; C=0; W=0,14,15,V=11; D=1; N=2; U=5,V=11; D=1; N=3; U=4,1,4,1,1,60.0,63.0,81.0,83.0,model_sensitive_band,model_sensitive_band,caution,caution
Maeda Toshiie,https://en.wikipedia.org/wiki/Maeda_Toshiie,materially_inflated,high,11,war-page reduction 1→0; rank moved materially after verification,victory count dropped by 8,corrected_but_partially_unresolved,material_change,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,9,10,V=8; D=1; N=0; U=2,V=8; D=1; N=1; U=1,1,1,1,1,,113.0,,102.0,,outside_trust_headline,,caution
Eugène de Beauharnais,https://en.wikipedia.org/wiki/Eug%C3%A8ne_de_Beauharnais,materially_inflated,high,11,1 structurally suspect rows; 2 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,22,22,B=18; O=0; C=0; W=4,B=18; O=0; C=0; W=4,17,17,V=9; D=8; N=0; U=5,V=9; D=8; N=0; U=5,0,5,3,3,,,,,,,,
Abdul Rashid Dostum,https://en.wikipedia.org/wiki/Abdul_Rashid_Dostum,materially_inflated,high,11,3 downgraded broad rows; rank moved materially after verification,,unresolved_after_review,stable_after_review,8,8,B=5; O=2; C=0; W=1,B=5; O=2; C=0; W=1,4,4,V=3; D=1; N=0; U=4,V=3; D=1; N=0; U=4,0,4,3,3,,,,,,,,
Faisal bin Hussein,https://en.wikipedia.org/wiki/Faisal_I,materially_inflated,high,11,3 downgraded broad rows; rank moved materially after verification,,corrected_but_partially_unresolved,stable_after_review,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,5,7,V=4; D=1; N=0; U=4,V=4; D=3; N=0; U=2,2,2,1,1,,,,,,,,
Bai Chongxi,https://en.wikipedia.org/wiki/Bai_Chongxi,materially_inflated,high,11,3 downgraded broad rows; strict engagements reduced by 3; rank moved materially after verification,,unresolved_after_review,stable_after_review,15,15,B=9; O=2; C=0; W=4,B=9; O=2; C=0; W=4,11,11,V=4; D=6; N=1; U=4,V=4; D=6; N=1; U=4,0,4,3,3,,,,,,,,
