display_name,canonical_wikipedia_url,structural_classification,dominant_verification_status,total_rows,verified_core_rows,verified_broad_rows,structurally_suspect_rows,quarantined_rows,outcome_review_status,stability_after_review,strict_engagement_count_before,strict_engagement_count_after,page_type_mix_before,page_type_mix_after,known_outcome_count_before,known_outcome_count_after,outcome_profile_before,outcome_profile_after,changed_row_count,remaining_unknown_count_after,remaining_unknown_with_page_result_after,unresolved_row_count_after,rank_hierarchical_trust_v2_before,rank_hierarchical_trust_v2_after,rank_hierarchical_weighted_before,rank_hierarchical_weighted_after,trust_tier_before,trust_tier_after,trust_confidence_before,trust_confidence_after
Markian Popov,https://en.wikipedia.org/wiki/Markian_Popov,materially_inflated,verified_broad,12,8,4,0,0,unresolved_after_review,confirmed_stable_after_review,8,8,B=4; O=4; C=0; W=0,B=4; O=4; C=0; W=0,6,6,V=4; D=1; N=1; U=2,V=4; D=1; N=1; U=2,0,2,2,2,,,,,,,,
Philippe Pétain,https://en.wikipedia.org/wiki/Philippe_P%C3%A9tain,materially_inflated,structurally_suspect,12,10,1,1,0,corrected,confirmed_stable_after_review,10,10,B=7; O=2; C=0; W=1,B=7; O=2; C=0; W=1,6,8,V=5; D=1; N=0; U=4,V=5; D=1; N=2; U=2,2,2,0,0,,,,,,,,
Tōdō Takatora,https://en.wikipedia.org/wiki/T%C5%8Dd%C5%8D_Takatora,materially_inflated,structurally_suspect,11,10,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,7,8,V=5; D=2; N=0; U=3,V=5; D=2; N=1; U=2,1,2,2,2,,,,,,,,
"François, Duke of Guise",https://en.wikipedia.org/wiki/Fran%C3%A7ois%2C_Duke_of_Guise,materially_inflated,verified_broad,9,5,4,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Deng Xiaoping,https://en.wikipedia.org/wiki/Deng_Xiaoping,high_priority_manual_concern,structurally_suspect,15,4,7,4,0,unresolved_after_review,confirmed_stable_after_review,4,4,B=2; O=1; C=0; W=1,B=2; O=1; C=0; W=1,1,1,V=1; D=0; N=0; U=3,V=1; D=0; N=0; U=3,0,3,3,3,,,,,,,,
Louis XV,https://en.wikipedia.org/wiki/Louis_XV,high_priority_manual_concern,structurally_suspect,9,5,1,3,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=4; O=0; C=0; W=1,B=4; O=0; C=0; W=1,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Charat Singh,https://en.wikipedia.org/wiki/Charat_Singh,mildly_inflated,verified_broad,13,11,2,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,11,11,B=10; O=0; C=0; W=1,B=10; O=0; C=0; W=1,8,8,V=5; D=2; N=1; U=3,V=5; D=2; N=1; U=3,2,3,3,3,,,,,,,,
Raymond A. Spruance,https://en.wikipedia.org/wiki/Raymond_A._Spruance,materially_inflated,structurally_suspect,8,5,1,2,0,corrected,confirmed_stable_after_review,5,5,B=4; O=1; C=0; W=0,B=4; O=1; C=0; W=0,4,5,V=4; D=0; N=0; U=1,V=4; D=0; N=1; U=0,1,0,0,0,,,,,,,,
Masoud Barzani,https://en.wikipedia.org/wiki/Masoud_Barzani,high_priority_manual_concern,structurally_suspect,15,6,0,9,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=2; O=1; C=0; W=3,B=2; O=1; C=0; W=3,3,3,V=3; D=0; N=0; U=3,V=3; D=0; N=0; U=3,0,3,2,2,,,,,,,,
Selim I Giray,https://en.wikipedia.org/wiki/Selim_I_Giray,materially_inflated,verified_broad,11,6,5,0,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,4,4,V=2; D=2; N=0; U=2,V=2; D=2; N=0; U=2,0,2,1,1,,,,,,,,
Sakakibara Yasumasa,https://en.wikipedia.org/wiki/Sakakibara_Yasumasa,materially_inflated,structurally_suspect,9,8,0,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=7; O=0; C=0; W=1,B=7; O=0; C=0; W=1,6,7,V=5; D=1; N=0; U=2,V=5; D=1; N=1; U=1,1,1,1,1,,,,,,,,
Émile Fayolle,https://en.wikipedia.org/wiki/%C3%89mile_Fayolle,mildly_inflated,verified_broad,12,10,2,0,0,corrected,confirmed_stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,7,8,V=6; D=0; N=1; U=3,V=6; D=0; N=2; U=2,1,2,0,0,,,,,,,,
Pyotr Bagration,https://en.wikipedia.org/wiki/Pyotr_Bagration,mildly_inflated,verified_broad,28,27,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,27,27,B=24; O=0; C=0; W=3,B=24; O=0; C=0; W=3,23,24,V=10; D=13; N=0; U=4,V=10; D=13; N=1; U=3,1,3,1,1,,,,,,,,
John II Komnenos,https://en.wikipedia.org/wiki/John_II_Komnenos,materially_inflated,structurally_suspect,8,6,1,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=1,V=4; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Lê Trọng Tấn,https://en.wikipedia.org/wiki/L%C3%AA_Tr%E1%BB%8Dng_T%E1%BA%A5n,materially_inflated,structurally_suspect,13,10,2,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=4; O=3; C=0; W=3,B=4; O=3; C=0; W=3,5,6,V=4; D=1; N=0; U=5,V=4; D=1; N=1; U=4,1,4,3,3,,,,,,,,
Liu Bocheng,https://en.wikipedia.org/wiki/Liu_Bocheng,materially_inflated,verified_broad,13,5,8,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=4; O=1; C=0; W=0,B=4; O=1; C=0; W=0,2,2,V=1; D=1; N=0; U=3,V=1; D=1; N=0; U=3,0,3,3,3,,,,,,,,
Ivan Chernyakhovsky,https://en.wikipedia.org/wiki/Ivan_Chernyakhovsky,mildly_inflated,verified_broad,9,8,1,0,0,corrected,confirmed_stable_after_review,8,8,B=2; O=6; C=0; W=0,B=2; O=6; C=0; W=0,7,8,V=6; D=1; N=0; U=1,V=7; D=1; N=0; U=0,1,0,0,0,,,,,,,,
Ibrahim Pasha of Egypt,https://en.wikipedia.org/wiki/Ibrahim_Pasha_of_Egypt,materially_inflated,structurally_suspect,18,13,4,1,0,unresolved_after_review,confirmed_stable_after_review,13,13,B=12; O=1; C=0; W=0,B=12; O=1; C=0; W=0,5,5,V=2; D=3; N=0; U=8,V=2; D=3; N=0; U=8,0,8,7,7,,,,,,,,
Frederick William III of Prussia,https://en.wikipedia.org/wiki/Frederick_William_III_of_Prussia,materially_inflated,structurally_suspect,13,10,1,2,0,unresolved_after_review,confirmed_stable_after_review,10,10,B=8; O=0; C=0; W=2,B=8; O=0; C=0; W=2,9,9,V=4; D=5; N=0; U=1,V=4; D=5; N=0; U=1,0,1,1,1,,,,,,,,
Simón Bolívar,https://en.wikipedia.org/wiki/Sim%C3%B3n_Bol%C3%ADvar,materially_inflated,structurally_suspect,13,8,4,1,0,unresolved_after_review,confirmed_stable_after_review,8,8,B=7; O=0; C=0; W=1,B=7; O=0; C=0; W=1,2,2,V=1; D=0; N=1; U=6,V=1; D=0; N=1; U=6,0,6,6,6,,,,,,,,
Robert E. Lee,https://en.wikipedia.org/wiki/Robert_E._Lee,high_priority_manual_concern,structurally_suspect,31,25,0,6,0,corrected_but_partially_unresolved,confirmed_stable_after_review,25,25,B=24; O=0; C=0; W=1,B=24; O=0; C=0; W=1,15,15,V=7; D=3; N=5; U=10,V=7; D=3; N=5; U=10,8,10,10,10,,,,,,,,
John II Casimir Vasa,https://en.wikipedia.org/wiki/John_II_Casimir_Vasa,materially_inflated,verified_broad,13,10,3,0,0,unresolved_after_review,confirmed_stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,7,7,V=4; D=3; N=0; U=3,V=4; D=3; N=0; U=3,0,3,1,1,,,,,,,,
Abu Bakr,https://en.wikipedia.org/wiki/Abu_Bakr,mildly_inflated,verified_broad,10,9,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=8; O=0; C=0; W=1,B=8; O=0; C=0; W=1,5,8,V=4; D=1; N=0; U=4,V=7; D=1; N=0; U=1,3,1,1,1,,,,,,,,
Fevzi Çakmak,https://en.wikipedia.org/wiki/Fevzi_%C3%87akmak,materially_inflated,structurally_suspect,16,11,4,1,0,unresolved_after_review,confirmed_stable_after_review,11,11,B=9; O=0; C=0; W=2,B=9; O=0; C=0; W=2,4,4,V=3; D=1; N=0; U=7,V=3; D=1; N=0; U=7,0,7,6,6,,,,,,,,
Adna Chaffee,https://en.wikipedia.org/wiki/Adna_Chaffee,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,5,5,V=5; D=0; N=0; U=1,V=5; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Manuel I Komnenos,https://en.wikipedia.org/wiki/Manuel_I_Komnenos,materially_inflated,structurally_suspect,8,5,2,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=3; D=1; N=0; U=1,V=3; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Karađorđe Petrović,https://en.wikipedia.org/wiki/Kara%C4%91or%C4%91e,structurally_clean,verified_core,9,9,0,0,0,unresolved_after_review,material_change,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,8,8,V=8; D=0; N=0; U=1,V=8; D=0; N=0; U=1,0,1,1,1,276.0,293.0,261.0,264.0,outside_trust_headline,outside_trust_headline,caution,caution
Józef Poniatowski,https://en.wikipedia.org/wiki/J%C3%B3zef_Poniatowski,materially_inflated,structurally_suspect,19,16,2,1,0,unresolved_after_review,confirmed_stable_after_review,16,16,B=12; O=0; C=0; W=4,B=12; O=0; C=0; W=4,11,11,V=4; D=7; N=0; U=5,V=4; D=7; N=0; U=5,0,5,3,3,,,,,,,,
Lê Duẩn,https://en.wikipedia.org/wiki/L%C3%AA_Du%E1%BA%A9n,high_priority_manual_concern,structurally_suspect,16,12,0,4,0,corrected_but_partially_unresolved,confirmed_stable_after_review,12,12,B=1; O=5; C=0; W=6,B=1; O=5; C=0; W=6,3,4,V=3; D=0; N=0; U=9,V=3; D=0; N=1; U=8,1,8,6,6,,,,,,,,
Alasdair Mac Colla,https://en.wikipedia.org/wiki/Alasdair_Mac_Colla,mildly_inflated,verified_broad,10,8,2,0,0,corrected_but_partially_unresolved,material_change,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,5,6,V=5; D=0; N=0; U=3,V=6; D=0; N=0; U=2,1,2,2,2,,257.0,,240.0,,outside_trust_headline,,caution
Maximilian von Weichs,https://en.wikipedia.org/wiki/Maximilian_von_Weichs,mildly_inflated,verified_broad,15,13,2,0,0,unresolved_after_review,confirmed_stable_after_review,13,13,B=7; O=6; C=0; W=0,B=7; O=6; C=0; W=0,9,9,V=5; D=4; N=0; U=4,V=5; D=4; N=0; U=4,0,4,4,4,,,,,,,,
Stephen the Great,https://en.wikipedia.org/wiki/Stephen_the_Great,materially_inflated,structurally_suspect,10,7,2,1,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,3,3,V=2; D=1; N=0; U=4,V=2; D=1; N=0; U=4,0,4,3,3,,,,,,,,
Francisco Franco,https://en.wikipedia.org/wiki/Francisco_Franco,high_priority_manual_concern,structurally_suspect,8,5,0,3,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
Gonzalo Fernández de Córdoba,https://en.wikipedia.org/wiki/Gonzalo_Fern%C3%A1ndez_de_C%C3%B3rdoba_%281585-1635%29,materially_inflated,structurally_suspect,8,6,1,1,0,unresolved_after_review,confirmed_stable_after_review,12,12,B=10; O=0; C=0; W=2,B=10; O=0; C=0; W=2,11,11,V=9; D=2; N=0; U=1,V=9; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Mark W. Clark,https://en.wikipedia.org/wiki/Mark_W._Clark,mildly_inflated,verified_broad,11,10,1,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=6; O=3; C=0; W=1,B=6; O=3; C=0; W=1,6,8,V=3; D=3; N=0; U=4,V=3; D=3; N=2; U=2,2,2,2,2,,,,,,,,
Étienne Macdonald,https://en.wikipedia.org/wiki/%C3%89tienne_Macdonald,high_priority_manual_concern,structurally_suspect,23,20,0,3,0,unresolved_after_review,confirmed_stable_after_review,20,20,B=18; O=0; C=0; W=2,B=18; O=0; C=0; W=2,19,19,V=7; D=12; N=0; U=1,V=7; D=12; N=0; U=1,0,1,1,1,,,,,,,,
Muammar Gaddafi,https://en.wikipedia.org/wiki/Muammar_Gaddafi,materially_inflated,structurally_suspect,19,15,2,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,15,15,B=11; O=0; C=0; W=4,B=11; O=0; C=0; W=4,3,5,V=2; D=1; N=0; U=12,V=2; D=2; N=1; U=10,2,10,10,10,,,,,,,,
Alexios I Komnenos,https://en.wikipedia.org/wiki/Alexios_I_Komnenos,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=6; O=0; C=0; W=0,B=6; O=0; C=0; W=0,4,4,V=4; D=0; N=0; U=2,V=4; D=0; N=0; U=2,0,2,2,2,,,,,,,,
"Francis II, Holy Roman Emperor",https://en.wikipedia.org/wiki/Francis_II%2C_Holy_Roman_Emperor,materially_inflated,structurally_suspect,13,10,2,1,0,unresolved_after_review,confirmed_stable_after_review,10,10,B=5; O=0; C=0; W=5,B=5; O=0; C=0; W=5,7,7,V=3; D=4; N=0; U=3,V=3; D=4; N=0; U=3,0,3,3,3,,,,,,,,
Prince Josias of Saxe-Coburg-Saalfeld,https://en.wikipedia.org/wiki/Prince_Josias_of_Saxe-Coburg-Saalfeld,mildly_inflated,verified_broad,16,14,2,0,0,unresolved_after_review,confirmed_stable_after_review,14,14,B=14; O=0; C=0; W=0,B=14; O=0; C=0; W=0,12,12,V=7; D=5; N=0; U=2,V=7; D=5; N=0; U=2,0,2,2,2,,,,,,,,
Niels Juel,https://en.wikipedia.org/wiki/Niels_Juel,structurally_clean,verified_core,9,9,0,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=7; O=0; C=0; W=2,B=7; O=0; C=0; W=2,6,7,V=4; D=0; N=2; U=3,V=4; D=0; N=3; U=2,1,2,1,1,,,,,,,,
Lin Biao,https://en.wikipedia.org/wiki/Lin_Biao,high_priority_manual_concern,structurally_suspect,15,9,2,4,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=6; O=3; C=0; W=0,B=6; O=3; C=0; W=0,2,2,V=0; D=1; N=1; U=7,V=0; D=1; N=1; U=7,0,7,7,7,,,,,,,,
Jean Reynier,https://en.wikipedia.org/wiki/Jean_Reynier,structurally_clean,verified_core,16,16,0,0,0,unresolved_after_review,confirmed_stable_after_review,16,16,B=16; O=0; C=0; W=0,B=16; O=0; C=0; W=0,14,14,V=7; D=7; N=0; U=2,V=7; D=7; N=0; U=2,0,2,2,2,,,,,,,,
Władysław II Jagiełło,https://en.wikipedia.org/wiki/W%C5%82adys%C5%82aw_II_Jagie%C5%82%C5%82o,high_priority_manual_concern,structurally_suspect,13,6,2,5,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,4,4,V=3; D=1; N=0; U=2,V=3; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Humayun,https://en.wikipedia.org/wiki/Humayun,mildly_inflated,verified_broad,9,7,2,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,5,5,V=4; D=1; N=0; U=2,V=4; D=1; N=0; U=2,0,2,2,2,,,,,,,,
Saddam Hussein,https://en.wikipedia.org/wiki/Saddam_Hussein,high_priority_manual_concern,structurally_suspect,26,19,2,5,0,corrected_but_partially_unresolved,confirmed_stable_after_review,19,19,B=9; O=2; C=0; W=8,B=9; O=2; C=0; W=8,6,7,V=1; D=5; N=0; U=13,V=1; D=5; N=1; U=12,1,12,10,10,,,,,,,,
Michael Andreas Barclay de Tolly,https://en.wikipedia.org/wiki/Michael_Andreas_Barclay_de_Tolly,materially_inflated,structurally_suspect,18,16,0,2,0,unresolved_after_review,confirmed_stable_after_review,16,16,B=13; O=0; C=0; W=3,B=13; O=0; C=0; W=3,13,13,V=6; D=7; N=0; U=3,V=6; D=7; N=0; U=3,0,3,1,1,,,,,,,,
Alexander II of Russia,https://en.wikipedia.org/wiki/Alexander_II_of_Russia,materially_inflated,structurally_suspect,10,6,2,2,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=3; O=0; C=0; W=3,B=3; O=0; C=0; W=3,3,3,V=1; D=2; N=0; U=3,V=1; D=2; N=0; U=3,0,3,3,3,,,,,,,,
Boris Yeltsin,https://en.wikipedia.org/wiki/Boris_Yeltsin,mildly_inflated,verified_broad,12,10,2,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,10,10,B=5; O=0; C=0; W=5,B=5; O=0; C=0; W=5,4,5,V=3; D=1; N=0; U=6,V=3; D=1; N=1; U=5,1,5,4,4,,,,,,,,
Gaius Marius,https://en.wikipedia.org/wiki/Gaius_Marius,materially_inflated,structurally_suspect,9,8,0,1,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=6; O=0; C=0; W=3,B=6; O=0; C=0; W=3,8,8,V=6; D=2; N=0; U=1,V=6; D=2; N=0; U=1,0,1,1,1,,,,,,,,
Paul Ludwig Ewald von Kleist,https://en.wikipedia.org/wiki/Paul_Ludwig_Ewald_von_Kleist,materially_inflated,verified_broad,23,20,3,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,20,20,B=14; O=6; C=0; W=0,B=14; O=6; C=0; W=0,12,13,V=6; D=6; N=0; U=8,V=6; D=7; N=0; U=7,1,7,6,6,,,,,,,,
Skanderbeg,https://en.wikipedia.org/wiki/Skanderbeg,high_priority_manual_concern,structurally_suspect,21,17,1,3,0,corrected_but_partially_unresolved,confirmed_stable_after_review,17,17,B=15; O=0; C=0; W=2,B=15; O=0; C=0; W=2,4,10,V=2; D=2; N=0; U=13,V=7; D=3; N=0; U=7,6,7,6,6,,,,,,,,
Wilhelm List,https://en.wikipedia.org/wiki/Wilhelm_List,materially_inflated,verified_broad,10,7,3,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=5; O=1; C=0; W=1,B=5; O=1; C=0; W=1,5,5,V=4; D=1; N=0; U=2,V=4; D=1; N=0; U=2,0,2,1,1,,,,,,,,
Cevat Çobanlı,https://en.wikipedia.org/wiki/Cevat_%C3%87obanl%C4%B1,materially_inflated,structurally_suspect,21,15,4,2,0,unresolved_after_review,confirmed_stable_after_review,15,15,B=13; O=2; C=0; W=0,B=13; O=2; C=0; W=0,10,10,V=3; D=7; N=0; U=5,V=3; D=7; N=0; U=5,0,5,4,4,,,,,,,,
Jean-Mathieu-Philibert Sérurier,https://en.wikipedia.org/wiki/Jean-Mathieu-Philibert_S%C3%A9rurier,materially_inflated,structurally_suspect,8,7,0,1,0,corrected,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,6,7,V=5; D=1; N=0; U=1,V=5; D=1; N=1; U=0,1,0,0,0,,,,,,,,
Arthur Currie,https://en.wikipedia.org/wiki/Arthur_Currie,structurally_clean,verified_core,10,10,0,0,0,unresolved_after_review,material_change,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,6,6,V=6; D=0; N=0; U=4,V=6; D=0; N=0; U=4,0,4,2,2,310.0,335.0,301.0,309.0,outside_trust_headline,outside_trust_headline,caution,caution
Pietro Badoglio,https://en.wikipedia.org/wiki/Pietro_Badoglio,materially_inflated,structurally_suspect,9,6,2,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=2; O=1; C=0; W=3,B=2; O=1; C=0; W=3,3,3,V=3; D=0; N=0; U=3,V=3; D=0; N=0; U=3,0,3,2,2,,,,,,,,
Ubadah ibn al-Samit,https://en.wikipedia.org/wiki/Ubadah_ibn_al-Samit,structurally_clean,verified_core,9,9,0,0,0,corrected,material_change,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,7,9,V=6; D=1; N=0; U=2,V=8; D=1; N=0; U=0,2,0,0,0,,231.0,,198.0,,outside_trust_headline,,caution
Ariel Sharon,https://en.wikipedia.org/wiki/Ariel_Sharon,materially_inflated,structurally_suspect,11,9,1,1,0,corrected_but_partially_unresolved,confirmed_stable_after_review,9,9,B=3; O=2; C=0; W=4,B=3; O=2; C=0; W=4,3,4,V=2; D=1; N=0; U=6,V=2; D=1; N=1; U=5,1,5,3,3,,,,,,,,
Tipu Sultan,https://en.wikipedia.org/wiki/Tipu_Sultan,materially_inflated,structurally_suspect,24,21,1,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,21,21,B=17; O=0; C=0; W=4,B=17; O=0; C=0; W=4,10,11,V=3; D=7; N=0; U=11,V=3; D=7; N=1; U=10,1,10,9,9,,,,,,,,
Murari Rao,https://en.wikipedia.org/wiki/Murari_Rao,mildly_inflated,verified_broad,8,7,1,0,0,unresolved_after_review,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,6,6,V=5; D=1; N=0; U=1,V=5; D=1; N=0; U=1,0,1,1,1,,,,,,,,
Ishikawa Kazumasa,https://en.wikipedia.org/wiki/Ishikawa_Kazumasa,structurally_clean,verified_core,8,8,0,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,8,8,B=8; O=0; C=0; W=0,B=8; O=0; C=0; W=0,6,7,V=5; D=1; N=0; U=2,V=5; D=1; N=1; U=1,1,1,1,1,,,,,,,,
Harry Chauvel,https://en.wikipedia.org/wiki/Harry_Chauvel,mildly_inflated,verified_broad,18,17,1,0,0,unresolved_after_review,confirmed_stable_after_review,17,17,B=17; O=0; C=0; W=0,B=17; O=0; C=0; W=0,11,11,V=9; D=2; N=0; U=6,V=9; D=2; N=0; U=6,0,6,6,6,,,,,,,,
Max Hoffmann,https://en.wikipedia.org/wiki/Max_Hoffmann,mildly_inflated,verified_broad,9,8,1,0,0,corrected,confirmed_stable_after_review,8,8,B=4; O=2; C=0; W=2,B=4; O=2; C=0; W=2,6,7,V=5; D=1; N=0; U=2,V=5; D=2; N=0; U=1,1,1,0,0,,,,,,,,
Jai Singh Kanhaiya,https://en.wikipedia.org/wiki/Jai_Singh_Kanhaiya,mildly_inflated,verified_broad,7,5,2,0,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=5; O=0; C=0; W=0,B=5; O=0; C=0; W=0,4,4,V=4; D=0; N=0; U=1,V=4; D=0; N=0; U=1,0,1,1,1,,,,,,,,
John Monash,https://en.wikipedia.org/wiki/John_Monash,structurally_clean,verified_core,9,9,0,0,0,unresolved_after_review,material_change,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,8,8,V=8; D=0; N=0; U=1,V=8; D=0; N=0; U=1,0,1,1,1,320.0,338.0,354.0,365.0,outside_trust_headline,outside_trust_headline,caution,caution
Ivan Bohun,https://en.wikipedia.org/wiki/Ivan_Bohun,materially_inflated,verified_broad,13,10,3,0,0,unresolved_after_review,confirmed_stable_after_review,10,10,B=10; O=0; C=0; W=0,B=10; O=0; C=0; W=0,5,5,V=2; D=3; N=0; U=5,V=2; D=3; N=0; U=5,0,5,3,3,,,,,,,,
Leonid Govorov,https://en.wikipedia.org/wiki/Leonid_Govorov,materially_inflated,verified_broad,19,10,9,0,0,unresolved_after_review,confirmed_stable_after_review,10,10,B=7; O=3; C=0; W=0,B=7; O=3; C=0; W=0,6,6,V=2; D=4; N=0; U=4,V=2; D=4; N=0; U=4,0,4,4,4,,,,,,,,
Baghel Singh,https://en.wikipedia.org/wiki/Baghel_Singh,mildly_inflated,verified_broad,9,7,2,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,7,7,B=7; O=0; C=0; W=0,B=7; O=0; C=0; W=0,4,5,V=3; D=0; N=1; U=3,V=3; D=1; N=1; U=2,1,2,2,2,,,,,,,,
Ptolemy I Soter,https://en.wikipedia.org/wiki/Ptolemy_I_Soter,materially_inflated,structurally_suspect,8,5,2,1,0,unresolved_after_review,confirmed_stable_after_review,5,5,B=4; O=0; C=0; W=1,B=4; O=0; C=0; W=1,3,3,V=3; D=0; N=0; U=2,V=3; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Reşid Mehmed Pasha,https://en.wikipedia.org/wiki/Re%C5%9Fid_Mehmed_Pasha,materially_inflated,verified_broad,12,9,3,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=9; O=0; C=0; W=0,B=9; O=0; C=0; W=0,8,8,V=5; D=3; N=0; U=1,V=5; D=3; N=0; U=1,0,1,1,1,,,,,,,,
Joseph Wheeler,https://en.wikipedia.org/wiki/Joseph_Wheeler,materially_inflated,structurally_suspect,14,12,0,2,0,corrected_but_partially_unresolved,confirmed_stable_after_review,12,12,B=12; O=0; C=0; W=0,B=12; O=0; C=0; W=0,3,6,V=3; D=0; N=0; U=9,V=4; D=1; N=1; U=6,3,6,6,6,,,,,,,,
Ferrante Gonzaga,https://en.wikipedia.org/wiki/Ferrante_Gonzaga,materially_inflated,structurally_suspect,12,6,5,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=5; O=0; C=0; W=1,B=5; O=0; C=0; W=1,4,4,V=2; D=2; N=0; U=2,V=2; D=2; N=0; U=2,0,2,2,2,,,,,,,,
Günther von Kluge,https://en.wikipedia.org/wiki/G%C3%BCnther_von_Kluge,materially_inflated,verified_broad,22,17,5,0,0,corrected_but_partially_unresolved,confirmed_stable_after_review,17,17,B=11; O=6; C=0; W=0,B=11; O=6; C=0; W=0,13,14,V=6; D=7; N=0; U=4,V=6; D=7; N=1; U=3,1,3,2,2,,,,,,,,
Velupillai Prabhakaran,https://en.wikipedia.org/wiki/Velupillai_Prabhakaran,materially_inflated,structurally_suspect,19,16,2,1,0,unresolved_after_review,confirmed_stable_after_review,16,16,B=12; O=2; C=0; W=2,B=12; O=2; C=0; W=2,8,8,V=2; D=6; N=0; U=8,V=2; D=6; N=0; U=8,0,8,8,8,,,,,,,,
Eumenes II,https://en.wikipedia.org/wiki/Eumenes_II,materially_inflated,structurally_suspect,7,6,0,1,0,unresolved_after_review,confirmed_stable_after_review,6,6,B=4; O=0; C=0; W=2,B=4; O=0; C=0; W=2,4,4,V=4; D=0; N=0; U=2,V=4; D=0; N=0; U=2,0,2,2,2,,,,,,,,
Miles Dempsey,https://en.wikipedia.org/wiki/Miles_Dempsey,mildly_inflated,verified_broad,11,9,2,0,0,unresolved_after_review,confirmed_stable_after_review,9,9,B=3; O=6; C=0; W=0,B=3; O=6; C=0; W=0,6,6,V=4; D=1; N=1; U=3,V=4; D=1; N=1; U=3,0,3,1,1,,,,,,,,
